"Geneid","SRR1177960.","SRR1177967.","SRR1177968.","SRR1177971.","SRR1177984.","SRR1177985.","SRR1177986.","SRR1178023.","SRR1178049."
"NM_001270655",0,0,0,0,0,0,0,0,0
"NM_001270656",0,0,0,0,0,0,0,0,0
"NM_019248",0,0,0,0,0,0,0,0,0
"NM_017065",0,0,2,0,0,0,0,0,0
"NM_031069",2,0,0,0,2,0,0,0,0
"NM_001008368",1594,1499,1667,1520,1232,1112,1108,1405,1962
"NM_001106284",27,39,35,26,8,7,16,27,27
"NM_001039611",405,742,888,849,342,333,310,429,466
"NM_001012742",120,358,378,105,394,328,296,131,235
"NM_001105731",7,6,6,6,12,4,6,12,10
"NM_001024899",67,24,27,38,59,44,62,47,41
"NM_001107611",16,17,55,27,3,8,9,18,30
"NM_013070",1205,853,1346,1257,802,944,1015,905,1560
"NM_001108458",18,20,18,16,51,48,46,8,12
"NM_001107515",116,64,44,75,78,56,80,68,46
"NM_080894",26,14,14,21,54,36,53,30,20
"NM_001039722",0,0,0,2,0,0,0,0,0
"NM_001190999",177,90,72,76,76,134,99,141,117
"NM_001038601",0,0,0,0,0,0,0,0,0
"NM_012689",65,8,27,22,64,136,87,81,125
"NR_027877",0,0,0,0,0,0,0,0,0
"NM_001038600",0,0,0,0,0,0,0,0,0
"NM_020093",173,74,79,141,73,65,73,167,183
"NM_001101008",121,206,145,175,152,168,131,112,128
"NM_133406",33,95,42,105,169,152,120,26,56
"NM_001106231",25,20,20,23,103,114,103,40,26
"NM_021677",0,0,0,0,0,0,0,0,0
"NM_017156",1,2,3,3,2,2,2,6,6
"NM_031139",1759,1622,1473,1299,1368,1159,1299,1655,1505
"NM_001099476",0,0,0,0,0,0,0,0,1
"NM_001039037",113,259,184,182,301,230,243,132,166
"NM_053557",344,528,616,248,297,241,269,381,453
"NM_199088",2,2,2,5,10,2,2,2,0
"NM_031013",8932,5263,8772,11758,5680,6477,6238,7705,7868
"NM_001127504",2326,1457,1246,1857,1718,1738,1708,2169,1836
"NM_001106268",143,208,130,202,625,492,514,144,128
"NM_001106271",2659,2111,1572,1482,3429,3079,2954,2149,2809
"NM_177481",11,58,48,58,113,106,152,178,129
"NM_031238",455,320,420,358,375,486,374,365,320
"NM_053863",6,0,0,2,5,2,4,0,0
"NM_022282",0,4,0,4,2,4,6,0,0
