"","SRR1177984","SRR1177985","SRR1177986","SRR1178004","SRR1178006","SRR1178013"
"NM_001000081",19.0912047477126,22.3844072331277,18.7347499192007,4.7585593581266,13.4357026094448,5.93505859119412
"NM_001000121",27.2731496395894,19.4647019418502,11.2408499515204,64.2405513347091,85.6526041352106,148.376464779853
"NM_001000913",13.6365748197947,26.2773476214977,44.9633998060816,16.6549577534431,7.5575827178127,8.30908202767177
"NM_001001109",20.0003097356989,20.4379370389427,24.3551748949609,13.0860382348481,11.7562397832642,16.6181640553435
"NM_001001504",828.194644055531,817.517481557707,641.665184732623,436.597821108115,433.301409154595,534.155273207471
"NM_001001505",1863.66522537194,2892.45470855894,2152.62276571616,5770.94286156803,4556.38264742797,4922.53759553641
"NM_001001507",989.106226929109,997.565974519821,902.078208609512,303.35815908057,661.708353515157,597.066894274129
"NM_001001509",9191.05142854162,10456.4378831619,9283.06858496393,6622.72498667269,6828.69585125032,7975.53173484667
"NM_001001511",160.911582873577,262.773476214977,125.522824458644,146.325700262393,81.4539470697591,329.989257670393
"NM_001001512",1973.66692891829,2147.92985928317,1965.27526652415,2632.67296488354,3704.89499455441,3099.28759632157
"NM_001001513",279.095231311798,259.8537709237,262.286498868809,173.687416571621,178.023059575144,117.514160105644
"NM_001001515",388.187829870156,428.223442720704,259.476286380929,596.009559605356,288.027874689973,274.199706913169
"NM_001001517",1479.11381545373,1417.03030136669,1291.76100692889,918.401956118433,1235.24490865583,937.739257408672
"NM_001001718",347.278105410772,410.705210973039,369.074573408253,467.528456935938,367.802358933552,299.126952996184
"NM_001001719",250.912976684222,154.744380437709,231.374161502128,49.9648732603293,46.1852277199665,35.6103515471647
"NM_001001720",55.4554042671651,32.1167582040528,62.7614122293222,61.8612716556458,104.966426636288,90.2128905861507
"NM_001001800",381.824094954251,433.089618206166,452.444210548696,335.478434747925,810.34081363214,593.505859119412
"NM_001001801",85.4558688707134,99.2699799034359,68.3818372050824,58.2923521370508,45.3454963068762,47.480468729553
"NM_001002016",1912.7568947232,1779.07375748511,1650.53146788158,1289.56958605231,1556.86203986942,1498.0087884174
"NM_001002022",853.649583719148,1069.58537170467,939.547708447913,556.751444900812,1140.35525897663,1086.11572218852
"NM_001002253",349.096315386744,439.902263885814,366.264360920373,462.769897577811,382.077792956087,365.599609217558
"NM_001002277",130.911118270029,153.771145340616,132.079986930365,82.0851489276838,106.645889462468,94.960937459106
"NM_001002278",242.731031792346,250.121419952775,283.83146127589,109.446865236912,329.174713931398,319.306152206244
"NM_001002279",247.276556732277,184.914668447577,296.945786219331,202.23877272038,209.932853272575,194.669921791167
"NM_001002289",190.002942489139,189.780843933039,199.525086639487,182.014895448342,199.856076315491,288.443847532034
"NM_001002798",315.459430831251,372.749042186431,304.439686187011,506.786571640483,389.635375673899,381.030761554663
"NM_001002802",112.729018510303,87.5911587383258,75.8757371727627,58.2923521370508,151.991385769344,89.0258788679119
"NM_001002804",1275.4742981448,1670.07142661074,1547.49034332597,1848.70031063218,1893.59433651863,1836.30712811546
"NM_001002805",2003.66739352183,1720.67965165955,1404.16950644409,642.405513347091,900.192074832802,1292.65576116208
"NM_001002807",1227.29173378152,1025.7897923355,1184.03619489348,261.720764696963,310.700622843411,206.540038973556
"NM_001002809",1180.92737939422,1054.01361015119,1131.57889511972,1228.89795423619,1208.37350343694,1220.24804634951
"NM_001002818",109.092598558358,87.5911587383258,116.155449499044,204.618052399444,186.420373706047,194.669921791167
"NM_001002819",157.275162921632,51.5814601459029,93.6737495960033,64.2405513347091,40.3071078283344,14.2441406188659
"NM_001002823",10.9092598558358,29.1970529127753,21.5449624070808,14.2756780743798,45.3454963068762,15.4311523371047
"NM_001002826",5060.07836313182,8874.93085038659,6457.86829714847,11013.685634384,12834.4549176722,11721.7407176084
"NM_001002827",247.276556732277,198.539959806872,342.845923521372,121.343263632228,130.158369028997,135.319335879226
"NM_001002828",711.829205593283,617.03105155665,605.132422390181,574.596042493787,535.748641551612,563.830566163442
"NM_001002829",18.1820997597263,10.7055860680176,16.8612749272806,51.1545130998609,13.4357026094448,18.9921874918212
"NM_001002830",116.365438462248,35.0364634953303,50.5838247818418,2.3792796790633,8.397314130903,2.37402343647765
"NM_001002831",789.10312957212,1051.09390485991,975.143733294394,2587.46665098134,1204.17484637149,2053.53027255317
"NM_001002835",515.462528188239,587.833998643875,608.879372374022,882.712760932484,1360.36488920629,1178.70263621115
"NM_001002851",189.093837501153,180.048492962114,146.131049369765,191.532014164595,117.562397832642,123.449218696838
"NM_001002853",212.730567188797,236.49612859348,175.169911744526,29.7409959882912,72.2169015257658,35.6103515471647
"NM_001002854",565.463302527487,570.31576689621,727.845034360946,227.221209350545,619.721782860642,640.986327848966
"NM_001003401",2771.86110837027,3413.13548550343,3028.47232443879,204.618052399444,701.175729930401,369.160644372275
"NM_001003402",116.365438462248,221.897602137092,153.624949337445,1045.69341894832,432.461677741505,356.103515471647
"NM_001003403",277.277021335825,463.259906216034,135.826936914205,229.600489029608,87.3320669613912,90.2128905861507
"NM_001003673",1319.11133756814,1438.44147350273,1367.63674410165,1701.18497053026,1766.79489314199,1658.25537037964
"NM_001003705",340.005265506881,388.320803739911,325.047911098131,162.980658015836,281.310023385251,290.817870968512
"NM_001003706",2058.21369280101,2145.01015399189,1884.71584187159,862.488883660446,387.955912847719,801.232909811207
"NM_001003708",176.366367669345,197.566724709779,149.877999353605,262.910404536494,162.068162726428,124.636230415077
"NM_001003709",1186.38200932214,1348.90384457022,1301.12838188849,2284.10849190077,1419.14608812261,1585.84765556707
"NM_001003958",78.1830289668229,49.6349899517179,73.0655246848826,29.7409959882912,41.1468392414247,54.6025390389859
"NM_001003959",75.455714002864,98.2967448063434,92.7370121000433,236.738328066798,209.093121859485,221.97119131066
"NM_001003974",223.639827044633,146.958499660969,149.877999353605,52.3441529393926,94.0499182661136,35.6103515471647
"NM_001003975",265.458656492003,225.790542525462,210.765936591007,248.634726462115,280.47029197216,235.028320211287
"NM_001003978",2510.03887183021,2805.8367849177,2627.54867616789,2060.45620206882,2666.98696797479,2584.12451060592
"NM_001004068",295.459121095552,342.578754176563,357.833723456733,253.393285820241,313.219817082682,384.591796709379
"NM_001004072",1714.57200734219,1430.65559272599,1703.9255051513,1660.73721598618,1445.17776192841,1919.39794839218
"NM_001004075",108.183493570371,92.4573342237883,134.890199418245,171.308136892557,155.350311421706,105.644042923255
"NM_001004076",129.092908294056,111.922036165638,88.9900621162031,67.809470853304,94.8896496792039,53.4155273207471
"NM_001004078",3628.23800705337,3694.40042856316,3354.45697303288,3075.21898518931,2564.53973557778,2626.85693246252
"NM_001004080",602.736607034925,241.362304078942,385.935848335534,167.739217373963,164.587356965699,181.61279289054
"NM_001004081",80.0012389427955,69.0996918935681,89.9267996121632,130.860382348481,91.5307240268427,51.0415038842695
"NM_001004082",16964.8081808126,16560.5684121261,16225.2301675237,20502.2529944884,14199.858195357,13383.5571231428
"NM_001004083",1231.83725872145,1237.95504350167,1217.75874474804,2325.74588628437,1992.68264326328,1969.25244055821
"NM_001004085",704.556365689393,694.889859324051,855.24133381151,728.059581793369,683.541370255504,365.599609217558
"NM_001004086",2894.59028174842,3797.56334885497,3234.55457354999,9864.49354939643,6513.79657134146,6494.14111048461
"NM_001004087",59.0918242191103,42.8223442720704,35.5960248464813,19.0342374325064,36.1084507628829,36.7973632654036
"NM_001004088",6.36373491590419,3.89294038837003,4.68368747980017,7.13783903718989,8.397314130903,2.37402343647765
"NM_001004089",1238.20099363736,961.556275927398,1094.10939528132,591.25100024723,483.685293940013,490.235839632635
"NM_001004090",200.912202344975,144.038794369691,148.004524361685,33.3099155068862,41.1468392414247,46.2934570113142
"NM_001004091",75.455714002864,22.3844072331277,45.9001373020416,9.51711871625319,10.0767769570836,26.1142578012541
"NM_001004095",880.013628370751,483.697843254977,744.706309288226,117.774344113633,71.3771701126755,58.1635741937024
"NM_001004096",22.7276246996578,35.0364634953303,31.8490748626411,52.3441529393926,41.1468392414247,43.9194335748365
"NM_001004098",235.458191888455,221.897602137092,228.563949014248,220.083370313355,204.894464794033,212.47509756475
"NM_001004099",1791.84593132102,2663.7444607422,1592.45374313206,1308.60382348481,1269.67389659253,1482.57763608029
"NM_001004102",436.37039423343,374.695512380616,461.811585508296,384.253668168723,324.136325452856,411.893066228872
"NM_001004107",1425.47662116254,935.278928305901,1347.02851919053,347.374833143242,532.38971589925,570.952636472875
"NM_001004198",170.002632753441,143.065559272599,129.269774442485,209.37661175757,202.375270554762,182.799804608779
"NM_001004199",3620.96516714948,4132.35622225479,3818.14203353309,2887.25589054331,3565.49957998142,3994.29443187365
"NM_001004200",666.373956193967,669.585746799646,709.110284441745,724.490662274774,645.753456666441,631.490234103055
"NM_001004201",23.6367296876441,21.4111721360352,5.6204249757602,28.5513561487596,18.4740910879866,14.2441406188659
"NM_001004202",4720.07309762494,4129.43651696351,3538.05752224105,1137.29568659226,1833.13367477613,1070.68456985142
"NM_001004203",732.738620316968,737.712203596121,859.92502129131,298.599599722444,320.777399800495,358.477538908125
"NM_001004204",1364.56658696746,1478.34411248352,1498.77999353605,1697.61605101166,1497.24110954001,1673.68652271674
"NM_001004205",269.095076443949,223.844072331277,169.549486768766,222.462649992418,235.964527078374,254.020507703109
"NM_001004206",1406.38541641483,1332.35884791964,1295.50795691273,1089.71009301099,1030.3504438618,1131.2221674816
"NM_001004207",253.640291648181,254.014360341145,260.413023876889,237.92796790633,287.188143276883,265.890624885497
"NM_001004208",1061.83462596801,1086.13036835524,1002.30912067724,1929.59581972033,1068.97808886395,1032.70019486778
"NM_001004209",4659.16306342985,5832.5979368754,4952.53114114069,15110.805241731,11935.1025742524,8842.05028916101
"NM_001004211",486.371168572677,526.520187527047,549.864910128539,555.56180506128,597.888766120294,588.757812246457
"NM_001004212",260.913131552072,210.218780971982,172.359699256646,86.8437082858104,64.6593188079531,94.960937459106
"NM_001004213",3297.32379142636,3137.70995302625,2988.19261211251,2782.56758466453,2957.53403690404,3094.53954944862
"NM_001004214",626.37333672257,833.089243111187,799.037084053908,1663.11649566525,1164.70746995625,1087.30273390676
"NM_001004215",273.64060138388,149.878204952246,201.398561631407,35.6891951859495,58.781198916321,47.480468729553
"NM_001004217",236.367296876441,236.49612859348,212.639411582928,258.151845178368,272.072977841257,216.036132719466
"NM_001004218",339.096160518895,416.544621555594,308.186636170851,262.910404536494,371.161284585913,318.119140488005
"NM_001004220",2213.67064574667,2826.27472195664,2661.27122602245,6432.38261234763,3901.39214521754,3848.29199053027
"NM_001004221",1157.29064970658,1145.49770927788,1129.7054201278,1286.00066653371,1067.29862603777,1120.53906201745
"NM_001004222",792.739549524065,725.060147333919,648.222347204343,1023.09026199722,602.927154598836,657.604491904309
"NM_001004223",5111.89734744704,4752.30697910272,4744.57541703757,3840.15740200816,3674.66466368315,3632.2558578108
