"","SRR1177960","SRR1178023","SRR1178049","SRR1178064","SRR1178074","SRR1178075"
"NM_001000081",4.73959053865003,3.39120773831094,5.94697165402441,15.694180826034,14.2831583902801,14.4930626311293
"NM_001000121",41.0764513349669,32.216473513954,120.426175993994,110.905544503973,32.9133649862976,134.251527530461
"NM_001000913",9.47918107730006,16.9560386915547,2.97348582701221,15.694180826034,15.5251721633479,16.0186481712482
"NM_001001109",3.15972702576669,3.39120773831094,5.94697165402441,13.078484021695,4.34704820573742,7.62792770059437
"NM_001001504",729.896942952105,1032.62275631568,905.426434325217,981.40944098799,860.715544736009,879.500063878531
"NM_001001505",3203.96320412742,2523.05855730334,4793.25915314368,5728.89914086326,7236.59324877973,9525.75611250225
"NM_001001507",1412.39798051771,1083.49087239035,1602.70886075958,1043.66302493126,965.665708560241,1250.98014289748
"NM_001001509",9404.92749219455,12071.0039445178,6607.08550762112,5140.89049924786,11227.8045085332,10367.1165378778
"NM_001001511",67.9341310539838,122.083478579194,118.939433080488,155.372390177736,163.32481115842,113.656122738856
"NM_001001512",5320.9803113911,5219.06870926054,4821.50726850029,6235.82118154416,5846.77983671683,5178.60011593352
"NM_001001513",412.344376862553,317.077923532073,264.640238604086,301.85141122072,360.183994189672,337.154404366271
"NM_001001515",586.129363279721,912.234881605644,921.780606373784,591.67061714148,783.710690805803,582.77367632541
"NM_001001517",2121.75669780233,2126.28725192096,1926.81881590391,1992.11468618458,1694.10678646453,2073.27074902155
"NM_001001718",698.299672694438,764.717344989118,704.716141001893,604.225961802307,583.746473341882,660.578538871472
"NM_001001719",48.9757688993837,64.4329470279079,68.3901740212807,287.726648477289,154.630714746945,232.651794868128
"NM_001001720",139.027989133734,133.952705663282,141.24057678308,132.354258299553,110.539225803037,113.656122738856
"NM_001001800",1339.72425892508,1034.31836018484,1074.91512646491,1274.36748307396,1504.69968607168,1554.57166538113
"NM_001001801",102.691128337417,81.3889857194627,123.399661821007,80.563461573641,113.023253349173,113.656122738856
"NM_001002016",2338.19799906735,2360.28058586442,2341.62008877211,3100.64699186344,2721.25217679162,2557.64415800929
"NM_001002022",1396.59934538888,1614.21488343601,1846.53469857458,1675.09223349869,1885.37690751697,1680.43247244094
"NM_001002253",1079.04677929932,1046.18758726893,807.301402033814,754.366958371365,931.510329800875,844.411596455797
"NM_001002277",323.872020141085,259.427391980787,438.5891594843,206.64004754278,234.119596223287,180.019093734027
"NM_001002278",650.903767307938,595.156958073571,474.270989408447,675.372914880328,568.221301178534,594.215567876301
"NM_001002279",369.688062014702,359.46802026096,280.994410652653,239.074687916584,308.640422607357,318.847377884845
"NM_001002289",486.59796196807,615.504204503436,727.017284704484,419.034628055107,444.019923871751,453.098905415305
"NM_001002798",810.469982109155,956.320582203686,624.432023672563,826.560190171122,851.400441438,835.258083215083
"NM_001002802",178.524576955818,108.51864762595,178.409149620732,236.458991112245,218.594424059939,193.749363595097
"NM_001002804",1154.88022791772,1166.57546197896,877.178318968601,2880.92846029897,2349.89005864434,2947.43126350966
"NM_001002805",513.455641687087,727.414059867698,1404.97205326327,1432.35557005603,902.944013020315,1108.33789489636
"NM_001002807",699.879536207321,591.76575033526,490.625161457014,499.598089628748,550.21210146905,575.908541394875
"NM_001002809",2060.14202079988,2263.63116532256,2279.17688640486,2201.89356989256,2110.18140044225,2148.78723325743
"NM_001002818",243.298980984035,254.340580373321,315.189497663294,250.060614494808,244.055706407829,311.21945018425
"NM_001002819",47.3959053865003,42.3900967288868,17.8409149620732,77.4246254084342,45.3335027169759,60.2606288346955
"NM_001002823",41.0764513349669,45.7813044671977,32.7083440971343,65.9155594693426,45.3335027169759,60.2606288346955
"NM_001002826",23265.0700907201,20954.2726150233,19807.8758366418,17362.4722478414,21756.9762697158,23559.6174960558
"NM_001002827",399.705468759486,262.818599719098,376.145957117044,200.885514573235,199.343210577387,212.819182846583
"NM_001002828",742.535851055172,612.112996765125,713.636598482929,927.002947457739,812.898014472897,1090.79366118499
"NM_001002829",17.3784986417168,16.9560386915547,31.2216011836282,43.4205669520273,45.9545096035098,41.953602353269
"NM_001002830",9.47918107730006,16.9560386915547,2.97348582701221,14.6479021042984,18.0091997094836,4.57675662035662
"NM_001002831",1976.40925461706,2102.54879775279,2570.57849745205,2358.8353781529,2510.73084225663,3195.33891377898
"NM_001002835",1714.15191147843,1790.55768582818,1733.54223714812,1884.34797784581,1590.39863641336,2060.30327193054
"NM_001002851",363.368607963169,361.163624130116,211.117493717867,288.249787838157,247.160740840499,258.586749050149
"NM_001002853",67.9341310539838,57.6505315512861,72.850402761799,71.6700924388884,117.37030155491,96.111889027489
"NM_001002854",1161.19968196926,1207.2699548387,985.710551654546,1090.74556740936,1042.04955560391,977.137538446139
"NM_001003401",1801.04440468701,1481.95778164188,1720.16155092656,598.994568193629,1144.51569188201,439.368635554236
"NM_001003402",345.990109321452,478.160291101843,727.017284704484,884.628659227447,723.473022812013,721.601960476227
"NM_001003403",616.146770024504,698.588794092055,1043.69352528128,195.654120964557,988.642963361996,189.17260697474
"NM_001003673",3276.63692572005,2870.65735048021,2888.74148094236,2932.19611766401,3103.17141200998,3223.56224627118
"NM_001003705",650.903767307938,630.764639325836,474.270989408447,482.857630080978,416.695620864258,556.838722143389
"NM_001003706",1409.23825349194,1093.66449560528,865.284375660552,990.82594948361,440.914889439081,448.522148794949
"NM_001003708",379.167243092003,349.294397046027,251.259552382531,315.97617396415,322.302574111103,369.191700708767
"NM_001003709",2736.32360431395,2709.57498291044,2499.21483760376,2821.29057316004,3049.14381288153,2893.27297683544
"NM_001003958",88.4723567214672,93.258212803551,102.585261031921,103.058454090956,77.6258608167396,84.6699974765975
"NM_001003959",219.601028290785,264.514203588254,350.87132758744,572.314460789372,488.732419702193,562.178271533805
"NM_001003974",61.6146770024504,64.4329470279079,71.3636598482929,107.243568977899,88.1829778878162,99.1630601077268
"NM_001003975",341.250518782802,320.469131270384,371.685728376526,324.346403738035,395.581386722105,401.228997051264
"NM_001003978",5068.20214932977,5475.10489350302,5307.67220121679,5067.1278493655,5095.36150401079,4527.17509030276
"NM_001004068",685.660764591371,802.020630110538,752.291914234088,777.908229610416,631.564003604993,752.876464048664
"NM_001004072",2414.03144768575,2499.32010313517,3467.08447429623,2786.76337534276,2919.97438048248,3411.97206047586
