"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_019292",46138.3911913358,-9.73712890519922,0.258384845998751,0,0
"NM_013033",5840.25493026282,8.70015301268774,0.232066278104638,1.52683219760581e-307,8.37314777167026e-304
"NM_053699",3160.92783080614,9.62809777805819,0.296044975549822,7.68613924699533e-233,2.81005250870149e-229
"NM_001271220",917.417352555201,7.34191613385233,0.249036030456817,7.95780459400602e-191,2.18203001967645e-187
"NM_001100661",20650.7730702621,3.49972224163009,0.144584575871043,7.93418213667669e-130,1.7404421935014e-126
"NM_001108542",956.171641978597,6.6456697927654,0.29103508712135,4.35985021225575e-116,7.96980618800351e-113
"NM_173136",5473.62458029189,9.09072682856922,0.402656489404595,1.97056494494987e-114,3.08759375945859e-111
"NM_031048",30943.2354360593,6.55528292255861,0.293050783027923,4.77840160316573e-112,6.55118859794021e-109
"NM_053445",27271.5868066334,-3.81683071365367,0.177535708607732,2.15545431759107e-103,2.62678032837098e-100
"NM_057100",15580.532882578,3.14397395213269,0.152064030394685,8.34367464137931e-96,9.15134234666483e-93
"NM_001034081",1400.47150656683,-2.69232596547628,0.13092529377701,3.73728937227952e-95,3.72641725774198e-92
"NM_001108284",1591.17041913948,3.8725302489721,0.190790894694059,6.42122904670157e-93,5.86900334868523e-90
"NM_134380",4431.15324560141,-5.4845381809428,0.285571070215939,1.50227345779474e-83,1.26745656039175e-80
"NM_022614",4549.06830461777,-3.55480414910511,0.187089696357908,1.06581564074384e-81,8.34990424834178e-79
"NM_057212",537.902437671733,6.62194130539393,0.352269125813668,6.88623064893209e-80,5.03521185049915e-77
"NM_053288",397772.285297617,5.64558641826267,0.303245244133477,1.43881135525363e-78,9.86305184026367e-76
"NM_053661",2912.89522431667,3.3139989726405,0.178523206999897,3.9860867112916e-78,2.57172935584978e-75
"NM_012883",36058.9902139422,-5.10530910841188,0.277996781870641,1.64004799554651e-76,9.99335911953009e-74
"NM_017128",515.052904251407,-4.12066873500548,0.249079365065873,1.254703532915e-62,7.24294123632194e-60
"NM_012918",455.474347152146,5.59602064514592,0.34918431565196,1.46849828600827e-59,8.05324460046933e-57
"NM_001192002",3213.05763770788,-2.31572316480484,0.145014263719029,1.46220642580791e-58,7.28976367193688e-56
"NM_012681",188412.198100951,-2.28726860703578,0.143205105503454,1.39751628758757e-58,7.28976367193688e-56
"NM_001080756",330.590566477055,5.70151138391964,0.357714375188966,1.89280244324216e-58,9.02619878151306e-56
"NM_031344",17409.5173048566,-3.36996430896849,0.212565837740658,8.75065386261818e-58,3.99904881521651e-55
"NM_022667",40272.9807141312,2.05739195506766,0.129668866367957,1.53793943744926e-57,6.74724789997738e-55
"NM_001012621",2413.35278826324,-3.8522481902854,0.243826539948856,1.63208697397356e-57,6.88489612713154e-55
"NM_022602",1847.02732850687,1.86507830293285,0.119368807038328,4.33268920972723e-56,1.76003463897364e-53
"NM_012508",899.569230749982,-2.62356042943957,0.170352807194395,1.11248890988546e-54,4.35777798700848e-52
"NM_031546",21220.7718191955,-2.67302531109164,0.179490882820671,1.73719336610373e-51,6.57018511704335e-49
"NM_001135807",364.055807390927,2.33854495467161,0.157423598529659,4.4678872080781e-51,1.63345956327335e-48
"NM_001012122",13581.1872736788,-2.20512164036493,0.149577617753991,2.37665226773978e-50,8.40874905566773e-48
"NM_001047101",951.939225226256,-2.57493785792679,0.176197253521022,1.57200919238817e-49,5.38806150691045e-47
"NM_001191698",1358.90639116121,3.06777120444758,0.210434709635169,2.49214975137632e-49,8.28299953730167e-47
"NM_139087",264.460022514813,3.18061107175064,0.219395402125315,8.59392489412432e-49,2.77229906584575e-46
"NM_001139483",2826.7901274244,1.88377605341281,0.130028825385427,1.2633839549943e-48,3.95908434810784e-46
"NM_134399",17293.1910781206,2.01823097919728,0.140663532198847,9.15677215492292e-48,2.78976324986652e-45
"NM_001004099",5306.14560164105,2.25104811012582,0.157726518434607,2.31438762065387e-47,6.86059551981936e-45
"NM_001108509",4239.99382301247,1.7765649063306,0.129590287632105,7.29178721116132e-44,2.10464005610572e-41
"NM_031840",9998.32191664501,-2.41095863211131,0.176927249986997,1.90619842040879e-43,5.36081648078042e-41
"NM_001007722",3996.03565609076,-3.61407870482411,0.265878935209836,2.18790686458852e-43,5.99924062270171e-41
"NM_001108393",3695.13756854946,1.47464498853897,0.108032184163426,2.25907845321564e-43,6.04331035972418e-41
"NM_001271152",6513.90214215728,-3.84590115434595,0.288283010510151,7.89422042296932e-42,2.0615192761697e-39
