"","SRR1177967","SRR1177968","SRR1177971","SRR1178064","SRR1178074","SRR1178075"
"NM_001000081",6.6042991662038,3.38741574360354,9.00148790107751,15.4744098669241,14.1320251096301,14.260004639398
"NM_001000121",21.4639722901623,82.9916857182868,117.019342714008,109.35249639293,32.5651013395823,132.092674554423
"NM_001000913",3.3021495831019,6.77483148720709,4.50074395053875,15.4744098669241,15.3608968582935,15.7610577593346
"NM_001001109",13.2085983324076,6.77483148720709,13.5022318516163,12.8953415557701,4.30105112032219,7.50526559968313
"NM_001001504",924.601883268531,674.095732977105,781.62919941023,967.666430344986,851.608121823794,865.357123643465
"NM_001001505",4388.55679594242,4122.48495996551,2512.91537238414,5648.67541508952,7160.02124358779,9372.5756808843
"NM_001001507",1381.94960052814,1014.53101520926,1141.68871545333,1029.04825615045,955.447784585858,1230.86355834803
"NM_001001509",16992.8617546424,34168.862605729,6595.09013552279,5068.9008587421,11109.0006079179,10200.4064765293
"NM_001001511",374.793977682065,105.00988805171,240.039677362067,153.196657682549,161.596634949248,111.828457435279
"NM_001001512",3051.18621478615,4317.26136522272,4334.21642436882,6148.49885379117,5784.91375683335,5095.32481562488
"NM_001001513",186.571451445257,411.571012847831,289.547860817993,297.624483107173,356.37280711241,331.732739505995
"NM_001001515",277.380564980559,414.958428591434,427.570675301182,583.385251983038,775.418073406658,573.402291815792
"NM_001001517",1731.97745633695,1873.24090621276,1848.30551568791,1964.2184257749,1676.18106517699,2039.93118999388
"NM_001001718",794.166974736006,684.257980207916,618.102169207322,595.764779876577,577.569721871837,649.95600093256
"NM_001001719",26.4171966648152,47.4238204104496,48.0079354724134,283.697514226942,152.994532708604,228.910600790336
"NM_001001720",84.2048143690984,120.253258897926,114.018846746982,130.500856544393,109.36958563105,111.828457435279
"NM_001001800",746.285805781029,857.016183131697,1345.72244121109,1256.52208119424,1488.77812350581,1529.57312921542
"NM_001001801",122.17953457477,191.3889895136,171.028270120473,79.4353039835437,111.827329128377,111.828457435279
"NM_001002016",2920.75130625363,2493.13798729221,3012.49795089394,3057.22757604197,2692.45800132169,2516.51555557376
"NM_001002022",1510.73343426912,1517.56225313439,1441.73831215591,1651.63534646303,1865.42731447117,1653.41001161019
"NM_001002253",691.800337659848,1133.09056623539,931.653997761522,743.803300936818,921.653811497613,830.832901884923
"NM_001002277",211.337573318521,365.840900309183,186.030749955602,203.746396581167,231.642324623067,177.124268152522
"NM_001002278",397.909024763779,418.345844335038,445.573651103337,665.915437939967,562.208825013544,584.660190215316
"NM_001002279",283.984864146763,365.840900309183,301.549844686096,235.726843639477,305.374629542876,313.720102066755
"NM_001002289",539.90145683716,423.426967950443,498.082330526289,413.166743446873,439.321650147195,445.812776621178
"NM_001002798",771.051927654293,955.251239696199,900.148790107751,814.985586324669,842.391583708818,821.826583165303
"NM_001002802",133.737058115627,121.946966769728,186.030749955602,233.147775328323,216.281427764773,190.633746231952
"NM_001002804",1129.33515742085,1338.0292187234,1866.30849149007,2840.58583790503,2325.02534847131,2900.03462771756
"NM_001002805",888.278237854411,662.239777874493,1189.69665092574,1412.29780718794,893.389761278353,1090.51509163396
"NM_001002807",861.861041189595,447.138878155668,714.118040152149,492.602047430417,544.390184657923,566.647552776077
"NM_001002809",1449.64366698173,1255.03753300511,1638.27079799611,2171.05970432945,2087.85310097926,2114.23331943074
"NM_001002818",326.912808727088,391.246518386209,367.560755960665,246.558930546324,241.473298612375,306.214836467072
"NM_001002819",97.413412701506,54.1986518976567,127.521078598598,76.3404220101588,44.8538188262172,59.2915982374968
"NM_001002823",74.2983656197927,35.5678653078372,31.5052076537713,64.9925214410812,44.8538188262172,59.2915982374968
"NM_001002826",8616.9593371044,10270.6445346059,19945.7969408042,17119.3396357781,21526.7608572126,23180.7633311813
"NM_001002827",259.218742273499,237.119102052248,204.033725757757,198.072446296628,197.233915660489,209.396910231159
"NM_001002828",842.048143690984,956.944947568001,757.625231674024,914.021809472983,804.29655950025,1073.25298075469
"NM_001002829",13.2085983324076,5.08112361540532,13.5022318516163,42.8125339651567,45.4682547005489,41.2789607982572
"NM_001002830",132.085983324076,20.3244944616213,15.0024798351292,14.4427825424625,17.8186403556205,4.50315935980988
"NM_001002831",1383.6006753197,1373.59708403124,1872.30948342412,2325.80380299869,2484.16423992323,3143.95575970727
"NM_001002835",944.414780767143,1204.22629685106,1665.27526169934,1857.96081135535,1573.57027416359,2027.17223847441
"NM_001002851",591.08477537524,689.339103823321,441.072907152798,284.213327889172,244.545477984033,254.428503829258
"NM_001002853",44.5790193718756,37.261573179639,48.0079354724134,70.66647172562,116.128380248699,94.5663465560075
"NM_001002854",667.034215786583,614.815957464043,736.621759904843,1075.47148575122,1031.02339712866,961.42452331941
"NM_001003401",7755.09829591481,6993.31980266952,3186.52671698144,590.606643254269,1132.4053163934,432.303298541749
"NM_001003402",295.54238768762,343.82269797576,372.061499911204,872.240902832288,715.817793596479,709.998125730025
"NM_001003403",325.261733935537,162.59595569297,603.099689372193,192.91430967432,978.181911936133,186.130586872142
"NM_001003673",3283.98776039484,3953.11417278534,3396.56143467325,2891.13557680365,3070.33606403571,3171.72524242609
"NM_001003705",688.498188076746,648.690114900079,438.072411185772,476.096010239031,412.286471676599,547.884388776869
"NM_001003706",670.336365369685,477.6256198481,963.159205415293,976.951076265141,436.249470775537,441.309617261368
"NM_001003708",411.117623096186,545.373934720171,382.563235795794,311.551451987405,318.892218778174,363.254855024664
"NM_001003709",2063.84348943869,1844.44787239213,2329.88511839556,2781.78308041072,3016.88014296885,2846.74724195981
"NM_001003958",89.1580387437512,115.172135282521,108.01785481293,101.615291459468,76.8044842914677,83.3084481564828
"NM_001003959",239.405844774888,269.299551616482,336.055548306894,564.300146480498,483.561033099081,553.138074696647
"NM_001003974",69.3451412451399,67.7483148720709,63.0104153075426,105.741800757315,87.2498941551073,97.5684527958808
"NM_001003975",363.236454141209,489.481574950712,400.566211597949,319.804470583098,391.39565194932,394.776970543333
"NM_001003978",5341.22695066732,4996.43822181523,4184.19162601753,4996.17113236756,5041.44634889194,4454.37513341194
"NM_001004068",663.732066203482,704.582474669537,616.601921223809,767.014915737204,624.881284195381,740.769714688725
"NM_001004072",3990.64777117864,3746.48181242552,3620.09838421667,2747.73937870349,2889.07748110785,3357.10530273827
"NM_001004075",132.085983324076,210.01977610342,205.53397374127,269.254731684479,237.172247492052,269.439035028625
"NM_001004076",123.830609366321,108.397303795313,114.018846746982,99.552036810545,124.116046615012,121.585302714867
"NM_001004078",10599.9001617571,8228.03284121301,5856.96812763443,5846.74786138615,5341.90549144016,5400.78912553198
"NM_001004080",313.70421039468,282.849214590896,1192.69714689277,371.901650468409,310.29011653753,312.219048946818
"NM_001004081",140.341357281831,88.0728093336921,147.024302384266,167.12362656278,175.114224184546,189.883219671983
"NM_001004082",72622.5247063685,51089.0042450287,36345.0076485839,35046.4434666097,29416.1174836321,27322.1688890865
"NM_001004083",2387.45414858267,2481.2820321896,2805.46372916916,2839.55421058057,3185.23557253575,3288.05685922118
"NM_001004085",19466.1717923857,34422.9187864992,15151.004385497,2531.61345422878,2633.47215738585,1393.72782186116
"NM_001004086",4126.03590408582,3880.28473429786,6415.06037750124,7839.33603858374,9902.86298660468,10249.1907029273
