"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_012737",2784.50511514532,-7.99479712819109,0.352243238124114,1.74535028138676e-114,1.91238030331547e-110
"NM_133606",478803.67978876,6.20199881414853,0.274425636369959,4.71104528607222e-114,2.58094615997467e-110
"NM_024162",6422.87228102086,8.18783207705426,0.510223433632041,3.24280815167366e-59,1.18438163059628e-55
"NM_012508",791.416979316106,-4.80787127602949,0.305228230674724,5.38499251463338e-57,1.47508407457095e-53
"NM_175837",120206.844237905,4.97044403769353,0.338213058601008,5.04871802943825e-50,1.1063760689711e-46
"NM_012575",435.06809529603,7.44494173769666,0.521551962266119,8.84528689653656e-47,1.61529680875585e-43
"NM_012598",4796.36401656719,4.31081077588663,0.306293532401416,3.10149718038226e-46,4.85472922934978e-43
"NM_001040019",126371.160489713,6.73746663682648,0.50406709564431,5.56764194455108e-42,7.62558159830577e-39
"NM_017158",3242.7471351898,-7.50092147144357,0.563065055605721,1.12457479378004e-41,1.36910733504977e-38
"NM_057197",19994.5107016446,2.25049700383119,0.169582937014911,5.90562038900362e-41,6.47078826023127e-38
"NM_138907",10531.9819152616,3.97475553109203,0.302363431767747,1.05657781830718e-40,1.05244755956289e-37
"NM_022594",42333.7332154562,4.23132118596183,0.327694051444355,1.91333588636545e-39,1.74703510890885e-36
"NM_001134557",963.307633176386,6.63497066948357,0.517156842439823,5.93844310952977e-39,5.00519393470136e-36
"NM_001008520",4047.60219627937,2.15273404368589,0.170738927335469,1.46894340841304e-37,1.14965806614155e-34
"NM_013200",6751.48252154473,6.21452498373252,0.499602069291765,8.8526492419321e-37,6.46656518292333e-34
"NM_017340",113378.623114524,3.60449101742307,0.291505181305144,2.37979719211078e-36,1.62971486462236e-33
"NM_001013936",360.376342309681,5.17335194085962,0.418831549027304,2.63271041660947e-36,1.69685929616412e-33
"NM_017016",3941.21332252397,6.16851193580381,0.502871114608515,8.0401453944668e-36,4.89421517150959e-33
"NM_017128",501.021766805086,-4.50249806362491,0.378936064970366,1.10887677891843e-33,6.3947172982154e-31
